name,cand_number_norm,mir,pref_votes
Халил Реджепов Летифов,1,1,711
Йордан Кирилов Цонев,2,1,1528
Елхан Мехмедов Кълков,3,1,1471
Ибраим Ибраимов Зайденов,4,1,231
Джалил Селим Бошнак,5,1,533
Здравко Славиев Дренчев,6,1,1137
Осман Османов Мисирков,7,1,990
Сайфедин Мехмед Джурин,8,1,296
Фатима Исмаил Йълдъс,9,1,504
Ивайло Иванов Червилов,10,1,391
Ахмед Ахмед Гогунч,11,1,331
Хюсни Сабитов Имамов,12,1,347
Светослав Алексиев Чавдаров,13,1,295
Мартин Бранимиров Каписъски,14,1,164
Саид Мохарем Иброш,15,1,329
Зелха Хюсеин Караасан,16,1,103
Асан Рушанов Топов,17,1,186
Стоян Генчев Стоянов,1,10,76
Теменужка Живкова Христова,2,10,459
Надка Стефанова Стоичкова,3,10,187
Марс��л Мартинов Атанасов,4,10,2
Драгомира Георгиева Йорданова,5,10,25
Мина Младенова Иванова,6,10,20
Александър Аврамов Самоковлийски,7,10,5
Марсел Пламен Величков,8,10,12
Рушен Мехмед Риза,1,11,189
Джейхан Хасанов Ибрямов,2,11,75
Станислав Димитров Анастасов,3,11,78
Стефан Русев Добревски,4,11,487
Диян Вацов Вацов,5,11,755
Любен Илиев Василев,6,11,45
Виолета Атанасова Ивайлова,7,11,36
Алил Хасанов Коджахасанов,8,11,86
Сурай Мустафа Велиева,9,11,154
��етоди Васков Петков,10,11,67
Димитър Иванов Аврамов,1,12,1324
Надя Йорданова Петрова,2,12,772
Добромир Чавдаров Йоцов,3,12,442
Теодора Димитрова Любенова,4,12,523
Иван Калинов Замфиров,5,12,496
Замфир Лозанов Борисов,6,12,339
Ванина Божидарова Стоянова,7,12,397
Милети Давидов Мечов,8,12,609
Миглена Атанасова Иванова,9,12,268
Светлин Горанов Райков,10,12,413
Искра Димитрова Михайлова-Копарова,1,13,228
Юмер Мустафа Хамза,2,13,904
Сергей Манушов Кичиков,3,13,260
Кадифка Салих Сиджимова,4,13,196
Осман Акчай Мурадов,5,13,102
Иван Ангелов Морозов,6,13,139
Цанко Бенчов Молов,7,13,173
Бахар Мухамер Алил,8,13,98
Ави Цанкова Тахчиева,9,13,204
Бюрхан Неждет Шериф,10,13,104
Ивайло Костадинов Личев,11,13,142
Фатма Себайдин Исаева,12,13,80
Траян Ромеов Ангелов,13,13,26
Боряна Симеонова Методиева,1,14,129
Георги Маринов Никодимов,2,14,46
Кристина Цветанова Александрова,3,14,114
Радосвета Емилова Кирова,4,14,33
Надя Николова Георгиева,5,14,9
Анета Петрова Андреева,6,14,5
Невена Игнатова Димова,7,14,3
Валентин Стоилов Павлов,8,14,11
Велислава Иванова Кръстева,1,15,319
Марио Киров Рангелов,2,15,842
Исмаил Ертурулов Гюлянлиев,3,15,143
Шенджан Яшарова Куртанова,4,15,89
Тома Юлиянов Терзиев,5,15,45
Васил Методиев Петков,6,15,124
Свилен Илиев Огнянов,7,15,56
Майдън Ахмедов Сакаджиев,8,15,144
Илхан Али Куртаджъ,9,15,128
Момчил Иванов Митов,10,15,89
Илиан Севелинов Селимски,11,15,62
Мелек Ахмедова Салиева,12,15,58
Танер Мехмед Али,1,16,92
АЛИ МУСТАФА БАЙРАМ,2,16,36
Жана Любомирова Папазова,3,16,19
Тунай Сюлейманов Хюсеинов,4,16,17
Айри Фейми Мурад,5,16,8
Антон Кръстев Михайлов,6,16,12
Мурад Ферад Ферад,7,16,32
Камелия Танева Александрова,8,16,21
Тоско Смаил Бесимов,9,16,26
Есиме Исмаилова Фейзова -Мехмедова,10,16,4
Инан Смаилов Алиев,11,16,10
Юсуф Джелилов Алиев,12,16,6
Хюсеин Айдънов Караджов,13,16,14
Гюнай Амзов Исмаилов,14,16,7
Саит Халил Хисар,15,16,30
Мехмет Асанов Гаджев,16,16,29
Рамадан Байрам Аталай,1,17,217
Хюсеин Айдънов Караджов,2,17,141
Сюзан Орхан Моллаюсеин,3,17,61
Джемил Ахмед Караали,4,17,150
Ружди Фахри Салим,5,17,101
Тефика Рахим Реджебова,6,17,80
Бюлент Местан Шакир,7,17,36
Илия Павлинов Русев,8,17,40
Селим Айнур Емин,9,17,378
Надя Стефанова Манолова,10,17,37
Бехие Орхан Узун,11,17,67
Исмаил Ердуанов Ходжев,12,17,29
Айсин Ахмед Кюлджю,13,17,27
Ердуан Сали Мехмед,14,17,40
Илдърай Кязим Мустафа,15,17,12
Рангел Христов Божков,16,17,33
Сибел Юксел Рамаданова,17,17,13
Айджан Тунджай Мехмед,18,17,29
Гюлен Рамаданов Гоганов,19,17,60
Юсуф Бейтула Аптиш,20,17,14
Нуретин Айнур Тасим,21,17,37
Стелиян Пламенов Шалски,22,17,45
Ахмед Реджебов Ахмедов,1,18,561
Ихсан Халил Хаккъ,2,18,429
Хабибе Кязим Расим,3,18,382
Денис Юнал Татар,4,18,874
Севим Халилова Рамаданова,5,18,165
Едис Рухиев Даудов,6,18,141
Севгин Назъм Шукри,7,18,163
Мехмед Реджеб Салим,8,18,132
