name,cand_number_norm,mir,pref_votes
Росен Димитров Желязков,1,1,2378
Ивайло Александров Златанов,2,1,2774
Георги Запрев Динев,3,1,5084
Емил Серафимов Тончев,4,1,2530
Александър Иванов Мацурев,5,1,6486
Стоян Костадинов Стоев,6,1,4819
Борислав Райчов Миланов,7,1,751
Илиан Кирилов Георгиев,8,1,2648
Никола Любенов Джингаров,9,1,1424
Денис Хюсеинов Шенгов,10,1,1890
Николай Бисеров Михайлов,11,1,417
Димитър Николов Чолев,12,1,437
Теодор Георгиев Тошев,13,1,243
Димитър Лазаров Урдев,14,1,3373
Наташа Атанасова Стоянова,15,1,351
Йордан Георгиев Андонов,16,1,458
Георги Иванов Матеев,17,1,66
Никол Янкова Тимева-Митрева,18,1,202
Александър Николаев Петков,19,1,67
Николая Валентинова Илиева,20,1,353
Иванка Георгиева Кехайова,21,1,483
Стефан Апостолов Апостолов,22,1,9497
Христо Богомилов Терзийски,1,10,1418
Даниел Тихомиров Александров,2,10,1636
Михаела Ясенова Крумова,3,10,2911
Люба Стаменкова Пашова-Христова,4,10,421
Анелия Знаменова Любенова-Мандалска,5,10,837
Александър Иванов Паризов,6,10,1951
Мишел Георгиева Виячева,7,10,437
Станислав Симеонов Тенев,8,10,672
Николай Нанков Нанков,1,11,2283
Младен Найденов Маринов,2,11,1568
Ирина Любенова Митева,3,11,1060
Иван Николов Миховски,4,11,2162
Георги Николов Митев,5,11,593
Иван Радославов Цветанов,6,11,306
Калин Димитров Василев,7,11,308
Ваня Владимирова Събчева,8,11,734
Владислав Радомиров Радоев,9,11,136
Атанас Маринов Орлинов,10,11,1215
Ирена Методиева Димова,1,12,1922
Илия Димитров Лазаров,2,12,3251
Стефан Александров Панталеев,3,12,1065
Христо Йорданов Кастрев,4,12,1503
Красимира Венкова Каменова,5,12,468
Владимир Минчев Владимиров,6,12,392
Десислава Димитрова Каменова,7,12,1053
Алекси Тодоров Тодоров,8,12,826
Полин Николаева Гълъбова,9,12,452
Николай Славчев Цоков,10,12,1181
Екатерина Спасова Гечева-Захариева,1,13,2096
Найден Тодоров Шопов,2,13,3050
Валери Стефанов Вълков,3,13,249
Димитър Иванов Гечев,4,13,5306
Стефан Неделчев Мирев,5,13,4140
Лозана Илиева Василева,6,13,738
Валентина Асенова Кайтазова,7,13,756
Малина Георгиева Консулова-Златева,8,13,734
