WKT,fid,№,Идент. на локация,Адрес,Х,Y,Номер на секция,Дата на избора,Избори
"POINT (23.0878631995363 42.7153706016542)","1","1",2.4.2023 г._1,"Салона в кметството, с.Клисура, УЛ.БАЛКАНСКА № 5",179640.1295,4736633.224,"254624012",2023/04/02,Парламентарни избори в България (април 2023)
"POINT (23.1605612995063 42.713509900275)","2","2",2.4.2023 г._10,"“Агротранс”/ Бивша “Бреста”/, гр.Банкя, УЛ.ВАРНА № 4",185584.5983,4736152.94,"254624001",2023/04/02,Парламентарни избори в България (април 2023)
"POINT (23.3083541026905 42.7387704635631)","3","3",2.4.2023 г._100,"141 ОУ, гр. София, гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ",197811.6866,4738418.014,"254613061",2023/04/02,Парламентарни избори в България (април 2023)
"POINT (23.3083541026905 42.7387704635631)","4","4",2.4.2023 г._100,"141 ОУ, гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ",197811.6866,4738418.014,"254613062",2023/04/02,Парламентарни избори в България (април 2023)
"POINT (23.3083541026905 42.7387704635631)","5","5",2.4.2023 г._100,"141 ОУ, гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ",197811.6866,4738418.014,"254613063",2023/04/02,Парламентарни избори в България (април 2023)
"POINT (23.3083541026905 42.7387704635631)","6","6",2.4.2023 г._100,"141 ОУ, гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ",197811.6866,4738418.014,"254613064",2023/04/02,Парламентарни избори в България (април 2023)
"POINT (23.3083541026905 42.7387704635631)","7","7",2.4.2023 г._100,"141 ОУ, гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ",197811.6866,4738418.014,"254613065",2023/04/02,Парламентарни избори в България (април 2023)
"POINT (23.3083541026905 42.7387704635631)","8","8",2.4.2023 г._100,"141 ОУ, гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ",197811.6866,4738418.014,"254613066",2023/04/02,Парламентарни избори в България (април 2023)
"POINT (23.3083541026905 42.7387704635631)","9","9",2.4.2023 г._100,"141 ОУ, гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ",197811.6866,4738418.014,"254613067",2023/04/02,Парламентарни избори в България (април 2023)
"POINT (23.3111735006502 42.7097779919494)","10","10",2.4.2023 г._101,"14-то СОУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605010",2023/04/02,Парламентарни избори в България (април 2023)
"POINT (23.3111735006502 42.7097779919494)","11","11",2.4.2023 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605011",2023/04/02,Парламентарни избори в България (април 2023)
"POINT (23.3111735006502 42.7097779919494)","12","12",2.4.2023 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605012",2023/04/02,Парламентарни избори в България (април 2023)
"POINT (23.3111735006502 42.7097779919494)","13","13",2.4.2023 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605013",2023/04/02,Парламентарни избори в България (април 2023)
"POINT (23.3111735006502 42.7097779919494)","14","14",2.4.2023 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605014",2023/04/02,Парламентарни избори в България (април 2023)
"POINT (23.3111735006502 42.7097779919494)","15","15",2.4.2023 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605015",2023/04/02,Парламентарни избори в България (април 2023)
