WKT,fid,id,ElDate,Election
"MULTIPOLYGON (((23.3128587694957 42.6950824265774,23.3130287039343 42.6949044689681,23.3130801122633 42.6948411680079,23.3131225672737 42.6947974819103,23.3129247503907 42.6946966442596,23.3130797384233 42.6945403385591,23.3128384972263 42.6944165264897,23.3129700841905 42.6942802894002,23.3127951462982 42.6941927388341,23.3124730009039 42.6945348621223,23.3128946260772 42.694755992321,23.3126929887061 42.6949652154269,23.3126183952187 42.694929696648,23.3122746523495 42.6953020079134,23.3125065887655 42.695426264955,23.3128587694957 42.6950824265774)),((23.3142565105303 42.696660950562,23.3142886442569 42.696619507531,23.3143921013342 42.6966581963407,23.3144026878087 42.6967298756691,23.3144183072816 42.6967966262683,23.3144468504576 42.6968370476237,23.3152550862426 42.6967071647317,23.3137799282974 42.6961501658706,23.314565707114 42.6953452422556,23.3152782904385 42.6957324910994,23.3152992039176 42.6949422988355,23.3152839818131 42.6949279602536,23.3137469660315 42.6941548718279,23.3132227150414 42.6946944150978,23.3138302403729 42.6949953036121,23.313055918751 42.6958235950092,23.3124273488182 42.6955235339243,23.311882990231 42.6960926411098,23.3122279498853 42.6962738639185,23.3125848050637 42.6962162872751,23.3138336927017 42.6968135173017,23.3140262796761 42.6969046261683,23.3143124558455 42.696858636415,23.3142977657409 42.6968151930302,23.3142565105303 42.696660950562)))","1","234602001",2023/04/02,Парламентарни избори в България (април 2023)
"MULTIPOLYGON (((23.3103412014814 42.693104938339,23.3100514393862 42.6929762580458,23.3099949034773 42.6930680701493,23.3101606807574 42.6931268388549,23.3102691318726 42.6931816665599,23.3103412014814 42.693104938339)),((23.3114074597748 42.6939930088877,23.3111085941572 42.6938360503964,23.3108850203207 42.6940661410921,23.3110379556641 42.6941473304527,23.3111895806517 42.6942249738752,23.3114074597748 42.6939930088877)),((23.3125065887655 42.695426264955,23.3122746523495 42.6953020079134,23.3126183952187 42.694929696648,23.3126929887061 42.6949652154269,23.3128946260772 42.694755992321,23.3124730009039 42.6945348621223,23.3119360175707 42.6942589076592,23.3116315047549 42.6945910902139,23.3116635773671 42.6946178192468,23.3116308276443 42.6946521176721,23.3112878258252 42.694478754634,23.3110002014807 42.6947821340681,23.3107734120192 42.6946665010942,23.3110258607485 42.6944171232562,23.3108591982795 42.6943334922613,23.3107118827257 42.6942565618503,23.3105587764813 42.6944234543434,23.3103554584456 42.694318832306,23.3102717298166 42.6944040732425,23.3093068954322 42.6939032271916,23.3092509104455 42.6938715471819,23.3089553524846 42.6942535148469,23.3088188396194 42.6945324195851,23.308888662111 42.694569182511,23.311882990231 42.6960926411098,23.3124273488182 42.6955235339243,23.3125065887655 42.695426264955),(23.310661448904 42.6951424512943,23.3107633548371 42.6950342867562,23.3111388178776 42.6952355302946,23.3110442174539 42.6953331358092,23.310661448904 42.6951424512943)))","2","234602002",2023/04/02,Парламентарни избори в България (април 2023)
"MULTIPOLYGON (((23.3146851681025 42.6931687000511,23.3144396155833 42.6930119389726,23.3143541031502 42.6930922227758,23.3141858815001 42.6929994081701,23.3139713986009 42.6932236256641,23.3140930499038 42.6932926243089,23.3138715094005 42.6935328539023,23.314197390889 42.6936900319057,23.314399758463 42.6934712024491,23.3144992657002 42.6933657268638,23.3146851681025 42.6931687000511)),((23.3112878258252 42.694478754634,23.3116403180664 42.6941069553404,23.3119360175707 42.6942589076592,23.3124730009039 42.6945348621223,23.3127951462982 42.6941927388341,23.3129700841905 42.6942802894002,23.3128384972263 42.6944165264897,23.3130797384233 42.6945403385591,23.3129247503907 42.6946966442596,23.3131225672737 42.6947974819103,23.3132227150414 42.6946944150978,23.3137469660315 42.6941548718279,23.3137535900557 42.6941480549257,23.3117751164672 42.6931345480988,23.3114439272989 42.6934849613824,23.3110407493191 42.6932749933464,23.311366377613 42.6929251510503,23.3108559336051 42.6926636569938,23.3107529644909 42.6927114719061,23.3106596904363 42.6927508636838,23.3105704852803 42.692773150158,23.3104853346351 42.6927783488829,23.3103615191457 42.6927804581664,23.3102648933309 42.6927741719827,23.3101864908083 42.6927554734933,23.3101863868267 42.6927556421166,23.3100514418227 42.6929762581244,23.3103412002632 42.6931049382997,23.3102691379639 42.6931816667564,23.3101606783209 42.6931268387763,23.3099949046956 42.6930680701887,23.3099044696674 42.693212925575,23.3109201531867 42.6937372071212,23.3111085965938 42.693836050475,23.3114074634297 42.6939930090056,23.31118958187 42.6942249739145,23.3110379568824 42.694147330492,23.3108591982795 42.6943334922613,23.3110258607485 42.6944171232562,23.3107734120192 42.6946665010942,23.3110002014807 42.6947821340681,23.3112878258252 42.694478754634)))","3","234602003",2023/04/02,Парламентарни избори в България (април 2023)
"MULTIPOLYGON (((23.3093068954322 42.6939032271916,23.3102717298166 42.6944040732425,23.3103554584456 42.694318832306,23.3105587764813 42.6944234543434,23.3107118827257 42.6942565618503,23.3108591982795 42.6943334922613,23.3110379568824 42.694147330492,23.3108850178841 42.6940661410135,23.3111085965938 42.693836050475,23.3109201531867 42.6937372071212,23.3099044696674 42.693212925575,23.3099949046956 42.6930680701887,23.3100514418227 42.6929762581244,23.3101863868267 42.6927556421166,23.3100183243171 42.692684230973,23.3098961359442 42.6926070313997,23.3098292890451 42.6925422553258,23.3097654913542 42.6924567250915,23.3097271644258 42.6923588940278,23.3097168391286 42.6922736832956,23.3097374901035 42.6921946042011,23.3097832628066 42.6921224889163,23.3071154119568 42.6907646003481,23.3052979167667 42.6926752558164,23.3053618560605 42.692711845265,23.3075527953931 42.6938657047095,23.3087502597817 42.6925884185288,23.3098211807008 42.693134497473,23.3092509104455 42.6938715471819,23.3093068954322 42.6939032271916)))","4","234602004",2023/04/02,Парламентарни избори в България (април 2023)
"MULTIPOLYGON (((23.3138370892946 42.6919117759831,23.3137653484075 42.6918585164459,23.3136545016554 42.6919814981368,23.3140023097604 42.6921571879181,23.3140485896631 42.6920343520656,23.3140348879736 42.6920142240789,23.3138370892946 42.6919117759831)),((23.3146851681025 42.6931687000511,23.3148389264485 42.6930047141281,23.3143940078702 42.6927768069717,23.3141858815001 42.6929994081701,23.3143541031502 42.6930922227758,23.3144396155833 42.6930119389726,23.3146851681025 42.6931687000511)),((23.3143987332738 42.6938769111691,23.3145082746018 42.6937499150399,23.3145298852701 42.6937515702495,23.3145982190752 42.6936807561735,23.3145760744396 42.6936706172577,23.3146432201311 42.6935988806755,23.314399758463 42.6934712024491,23.314197390889 42.6936900319057,23.3138715094005 42.6935328539023,23.3140930499038 42.6932926243089,23.3139713986009 42.6932236256641,23.3132435133507 42.6928507998021,23.3136730414623 42.6924058896338,23.3119278570348 42.6915032736011,23.3117131219217 42.691743611303,23.3113634986279 42.6915110368446,23.3109377367731 42.6918560030812,23.3109710843903 42.6918738774183,23.3110243234771 42.6919569442224,23.3110736014773 42.6920485451623,23.311115010061 42.6921515228413,23.3111258215106 42.6922229189058,23.3111364481674 42.6923114392269,23.3111225788506 42.6923900727848,23.3142544880807 42.6940236531855,23.3143987332738 42.6938769111691),(23.312523698628 42.6927155017102,23.312561632633 42.6926764305092,23.3126002544817 42.6926949993311,23.3128603639487 42.6924185396315,23.3130352247492 42.6925126902767,23.3127366920533 42.6928279150456,23.312523698628 42.6927155017102)),((23.3119360175707 42.6942589076592,23.3116403180664 42.6941069553404,23.3112878258252 42.694478754634,23.3116308276443 42.6946521176721,23.3116635773671 42.6946178192468,23.3116315047549 42.6945910902139,23.3119360175707 42.6942589076592)),((23.311138811786 42.6952355300982,23.3107633565881 42.6950342778087,23.3106614513406 42.6951424513729,23.3110442150173 42.6953331357306,23.311138811786 42.6952355300982)))","5","234602005",2023/04/02,Парламентарни избори в България (април 2023)
"MULTIPOLYGON (((23.3138026708952 42.6918284300743,23.3143997977646 42.6911884928717,23.3143674966495 42.6910565565025,23.3141524083664 42.6910963292611,23.3139875921633 42.691222990916,23.3138410545926 42.691144106918,23.3137570443668 42.6912074246365,23.3139605554099 42.6913504806652,23.3140084112836 42.691369675214,23.3136550769263 42.6917185999579,23.3138026708952 42.6918284300743)),((23.3127366920533 42.6928279150456,23.3130352247492 42.6925126902767,23.3128603639487 42.6924185396315,23.3126002544817 42.6926949993311,23.312561632633 42.6926764305092,23.312523698628 42.6927155017102,23.3127366920533 42.6928279150456)),((23.3148389264485 42.6930047141281,23.3145537265343 42.6918172094997,23.3140963891052 42.6918768013833,23.3140348879736 42.6920142240789,23.3140485896631 42.6920343520656,23.3140023097604 42.6921571879181,23.3136545016554 42.6919814981368,23.3135798076601 42.6920588363262,23.3130453585612 42.6917074499414,23.3125763988176 42.6914312743543,23.3126158486003 42.6913912228242,23.3124726062982 42.6912925245236,23.3124214553919 42.6913325058304,23.3123090679331 42.6912656454013,23.3126319225483 42.6910184462125,23.3122935397829 42.6907868816253,23.311589233942 42.6913281312179,23.3113634925367 42.6915110366482,23.3117131194852 42.6917436112245,23.3119278619611 42.6915032728595,23.3136730365892 42.6924058894767,23.314289693704 42.6927248086815,23.3143940103068 42.6927768070502,23.3148389264485 42.6930047141281)),((23.3148389264485 42.6930047141281,23.3146851681025 42.6931687000511,23.3144992657002 42.6933657268638,23.314399758463 42.6934712024491,23.3146432201311 42.6935988806755,23.3145760744396 42.6936706172577,23.3145982190752 42.6936807561735,23.3145298852701 42.6937515702495,23.3145082746018 42.6937499150399,23.3143987332738 42.6938769111691,23.3142544880807 42.6940236531855,23.3152043042981 42.6945330589142,23.3151335324731 42.694227860993,23.3148389264485 42.6930047141281)))","6","234602006",2023/04/02,Парламентарни избори в България (април 2023)
"MULTIPOLYGON (((23.3136545028737 42.691981498176,23.3137653496257 42.6918585164852,23.3138370892946 42.6919117759831,23.3140348879736 42.6920142240789,23.3140963903235 42.6918768014226,23.3145537277526 42.6918172095389,23.3145181928601 42.6916489465973,23.3143997989829 42.691188492911,23.3138026708952 42.6918284300743,23.3136550781446 42.6917185999971,23.3140084112836 42.691369675214,23.3139605566281 42.6913504807045,23.313757045585 42.6912074246758,23.3138410545926 42.691144106918,23.3139875921633 42.691222990916,23.3141524083664 42.6910963292611,23.3143674966495 42.6910565565025,23.3141937541858 42.6903195116997,23.3139742003728 42.689450101066,23.3122935397829 42.6907868816253,23.3126319237665 42.6910184462518,23.3123090691513 42.6912656454406,23.3124214553919 42.6913325058304,23.3124726075164 42.6912925245629,23.3126158498185 42.6913912228635,23.312576401254 42.6914312744329,23.3130453597795 42.6917074499807,23.3135798076601 42.6920588363262,23.3136545028737 42.691981498176)))","7","234602007",2023/04/02,Парламентарни избори в България (април 2023)
"MULTIPOLYGON (((23.309203401315 42.6879407154683,23.3096940853686 42.688256062879,23.3096981593322 42.6882578969766,23.3097167481511 42.688272219754,23.3096963645535 42.688286383743,23.3097751195698 42.6883425264912,23.3097968656365 42.6883260293701,23.3098406416708 42.6883552064962,23.3099513578507 42.6882691129909,23.3100719625453 42.6883515413864,23.309954372488 42.6884397552218,23.3101008149006 42.6885397430159,23.3101515875775 42.6885744121914,23.3104327426864 42.6887663733129,23.3105061321333 42.6888188741331,23.3106011368274 42.6888868261178,23.3107286562573 42.6889656762331,23.3108148852747 42.6890551195245,23.3109307376801 42.6891252265677,23.3108881929339 42.6891611204828,23.3109748054477 42.689226778294,23.3110641068301 42.6892944775348,23.3111283448523 42.6892456960065,23.3112449819472 42.6893285876905,23.311401093602 42.6892043568113,23.311599996366 42.6893411510578,23.3114408872704 42.6894652351303,23.3114142864795 42.6894865021388,23.3111315599684 42.689712599821,23.3114270562807 42.689922248462,23.3115165683166 42.6898545790195,23.3118389288985 42.6900807608036,23.3115694910724 42.6902913355183,23.3115703732559 42.6902919375226,23.3117297473386 42.6904010228359,23.3120142229164 42.6901985338014,23.3121363137102 42.6902812222433,23.3118695727025 42.6904967116841,23.3122935434376 42.6907868817431,23.3139742003728 42.689450101066,23.3126277924992 42.6885204031654,23.3119695087098 42.6880642707639,23.3113058934805 42.6876075827023,23.3110407910113 42.6878055040041,23.3110281056885 42.6878149696659,23.3112304486549 42.6879586474446,23.3114605783023 42.6881220645634,23.3116918032138 42.6882978133823,23.3118852027141 42.6884285761471,23.3117723490907 42.6885245007886,23.311572526409 42.6883767561568,23.3111441721225 42.6887099939599,23.3109834191499 42.6888472297475,23.3107730571871 42.6886978958725,23.3107428858502 42.6886775703712,23.3104973592455 42.6885121371164,23.3102674069419 42.6883527287924,23.3101238900689 42.6882532380625,23.3094243651061 42.687768277655,23.309203401315 42.6879407154683),(23.3116352697783 42.6888126192018,23.3118927453696 42.6886161001924,23.3120373396727 42.6887184183103,23.3121676462395 42.6886142176945,23.3122951953365 42.6887124545681,23.3124542531241 42.6887459395845,23.3126680564273 42.6888898519188,23.3121751496494 42.6892829993741,23.3119621655047 42.6891317265005,23.3117991173109 42.6891058196094,23.3115178030231 42.688910247871,23.3116352697783 42.6888126192018)))","8","234602008",2023/04/02,Парламентарни избори в България (април 2023)
"MULTIPOLYGON (((23.3070251731194 42.6896681589904,23.3067205834133 42.6895095843692,23.3065961053465 42.6896264897211,23.3068900335181 42.6897747835845,23.3070251731194 42.6896681589904)),((23.3070251731194 42.6896681589904,23.3071597821307 42.6897372960775,23.3072574183167 42.6898105167157,23.3072895625127 42.6898712350861,23.3073053016837 42.6899318470511,23.307296359204 42.6899983621575,23.3070283144908 42.6902785480659,23.3090754061965 42.6913485758242,23.3099799270548 42.6918213357311,23.3100358395245 42.6917997738601,23.3101833086312 42.6917550067559,23.3102880011451 42.6917328095522,23.3104157648676 42.6917221657844,23.3105433018138 42.6917314927593,23.3106707469034 42.6917493722836,23.3108364986591 42.6918017282869,23.3109377367731 42.6918560030812,23.3113634986279 42.6915110368446,23.3115892315055 42.6913281311393,23.3122935434376 42.6907868817431,23.3118695727025 42.6904967116841,23.3117297473386 42.6904010228359,23.3115703732559 42.6902919375226,23.3115694910724 42.6902913355183,23.3113400032418 42.6904689815239,23.3111459289146 42.6906233041674,23.310954075245 42.6904883283813,23.3107713384224 42.6906336995182,23.3106523966463 42.6905531316993,23.310613424624 42.6905383200286,23.3103749058753 42.6903904111226,23.3103086406703 42.690351537152,23.3101333792223 42.6904963839417,23.3099271132722 42.6903919470094,23.3100247552205 42.6902857731483,23.3099428950821 42.6902283112512,23.3097218871313 42.6900789516612,23.3095395439188 42.6902749129088,23.3093164862367 42.690159564063,23.3091358639858 42.690069557316,23.3093778571407 42.6898644705885,23.3091561409913 42.6897158803196,23.3090261275501 42.6896364500559,23.3089444067603 42.6897307076047,23.3087372475619 42.689629574817,23.3087342677409 42.6896285539431,23.3084987878709 42.6894899206436,23.3085785430955 42.6893907990202,23.3084780908978 42.6893226506533,23.3083317408813 42.6894708209784,23.3082403633395 42.6896029327614,23.3075520134889 42.689253195156,23.3074613836785 42.6893230466895,23.3070251731194 42.6896681589904)),((23.3098211807008 42.693134497473,23.3087502597817 42.6925884185288,23.3075527953931 42.6938657047095,23.3088188396194 42.6945324195851,23.3089553524846 42.6942535148469,23.3092509104455 42.6938715471819,23.3098211807008 42.693134497473)))","9","234602009",2023/04/02,Парламентарни избори в България (април 2023)
"MULTIPOLYGON (((23.3099616660416 42.6875274641948,23.3101480099855 42.6873770305871,23.3103487886571 42.6875168345331,23.3104442291239 42.68744956782,23.3101283485388 42.6872218929976,23.3096027897965 42.6876298322715,23.3098640176873 42.687818279597,23.3099884046425 42.6877151393713,23.3101135530609 42.6876212608343,23.3099616660416 42.6875274641948)),((23.3124542482513 42.6887459394274,23.3122951953365 42.6887124545681,23.3121676462395 42.6886142176945,23.3120373396727 42.6887184183103,23.3118927490242 42.6886161003102,23.3116352722147 42.6888126192803,23.3115178042413 42.6889102479103,23.3117991234019 42.6891058198058,23.3119621655047 42.6891317265005,23.3121751447233 42.6892830001157,23.3126680552091 42.6888898518795,23.3124542482513 42.6887459394274)),((23.3121363149284 42.6902812222826,23.3120142241346 42.6901985338407,23.3117297510465 42.6904010220551,23.3118695666114 42.6904967114877,23.3121363149284 42.6902812222826)),((23.3107713384224 42.6906336995182,23.310954075245 42.6904883283813,23.3111459289146 42.6906233041674,23.3113400032418 42.6904689815239,23.3115694910724 42.6902913355183,23.3118389288985 42.6900807608036,23.3115165683166 42.6898545790195,23.3114270562807 42.689922248462,23.3111315599684 42.689712599821,23.3114142864795 42.6894865021388,23.3114408872704 42.6894652351303,23.311599996366 42.6893411510578,23.311401093602 42.6892043568113,23.3112449819472 42.6893285876905,23.3111283448523 42.6892456960065,23.3110641068301 42.6892944775348,23.3109748054477 42.689226778294,23.3107724647853 42.6893784926947,23.3108640667878 42.6894400759993,23.3106335673042 42.6896444939609,23.3095964549583 42.6889422792159,23.3101008149006 42.6885397430159,23.309954372488 42.6884397552218,23.3100719625453 42.6883515413864,23.3099513578507 42.6882691129909,23.3098406416708 42.6883552064962,23.3097968656365 42.6883260293701,23.3097751195698 42.6883425264912,23.3096963645535 42.688286383743,23.3097167481511 42.688272219754,23.3096981593322 42.6882578969766,23.3096940853686 42.688256062879,23.309203401315 42.6879407154683,23.3087211049516 42.6883191292105,23.3087202125601 42.6883198324433,23.3081978967021 42.6887235414881,23.3079826930086 42.6888993115016,23.3077843777314 42.6890612926631,23.3075520134889 42.689253195156,23.3082403633395 42.6896029327614,23.3083317408813 42.6894708209784,23.3084780908978 42.6893226506533,23.3085785430955 42.6893907990202,23.3088681865558 42.6891897145708,23.3090810957408 42.6893252048487,23.3092946123114 42.689158514744,23.3090828088282 42.6890082668731,23.3091705702654 42.6889397378244,23.3093245871141 42.6888154422106,23.3094348020425 42.6888920174708,23.3095556200256 42.688974314629,23.3094564376355 42.6890538116099,23.3096894647836 42.6892094526152,23.3093303815436 42.6895076522349,23.3090886788544 42.6893515558928,23.3087342677409 42.6896285539431,23.3087372475619 42.689629574817,23.3089444067603 42.6897307076047,23.3090261275501 42.6896364500559,23.3091561409913 42.6897158803196,23.3093778571407 42.6898644705885,23.3098842390052 42.6894560669954,23.310381647903 42.6898035090933,23.3102569450883 42.689904068859,23.3099230852147 42.6896690532682,23.3097568423974 42.6897997524214,23.3099409947386 42.6899123038739,23.3097218871313 42.6900789516612,23.3099428950821 42.6902283112512,23.3100247552205 42.6902857731483,23.3099271132722 42.6903919470094,23.3101333792223 42.6904963839417,23.3103086406703 42.690351537152,23.3103749058753 42.6903904111226,23.310613424624 42.6905383200286,23.3106523966463 42.6905531316993,23.3107713384224 42.6906336995182)))","10","234602010",2023/04/02,Парламентарни избори в България (април 2023)
