WKT,fid,№,Идент. на локация,Адрес,Х,Y,Номер на секция,Дата на избора,Избори
"POINT (23.0878631995363 42.7153706016542)","1","1",11.7.2021 г._1,"Салона в кметството, с.Клисура, УЛ.БАЛКАНСКА № 5",179640.1295,4736633.224,"254624012",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.1605612995063 42.713509900275)","2","2",11.7.2021 г._10,"“Агротранс”/ Бивша “Бреста”/, гр.Банкя, УЛ.ВАРНА № 4",185584.5983,4736152.94,"254624001",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3083541026905 42.7387704635631)","3","3",11.7.2021 г._100,"141 ОУ, гр. София, гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ",197811.6866,4738418.014,"254613061",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3083541026905 42.7387704635631)","4","4",11.7.2021 г._100,"141 ОУ, гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ",197811.6866,4738418.014,"254613062",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3083541026905 42.7387704635631)","5","5",11.7.2021 г._100,"141 ОУ, гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ",197811.6866,4738418.014,"254613063",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3083541026905 42.7387704635631)","6","6",11.7.2021 г._100,"141 ОУ, гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ",197811.6866,4738418.014,"254613064",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3083541026905 42.7387704635631)","7","7",11.7.2021 г._100,"141 ОУ, гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ",197811.6866,4738418.014,"254613065",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3083541026905 42.7387704635631)","8","8",11.7.2021 г._100,"141 ОУ, гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ",197811.6866,4738418.014,"254613066",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3083541026905 42.7387704635631)","9","9",11.7.2021 г._100,"141 ОУ, гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ",197811.6866,4738418.014,"254613067",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111735006502 42.7097779919494)","10","10",11.7.2021 г._101,"14-то СОУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605010",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111735006502 42.7097779919494)","11","11",11.7.2021 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605011",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111735006502 42.7097779919494)","12","12",11.7.2021 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605012",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111735006502 42.7097779919494)","13","13",11.7.2021 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605013",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111735006502 42.7097779919494)","14","14",11.7.2021 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605014",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111735006502 42.7097779919494)","15","15",11.7.2021 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605015",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111735006502 42.7097779919494)","16","16",11.7.2021 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605016",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111735006502 42.7097779919494)","17","17",11.7.2021 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605017",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111735006502 42.7097779919494)","18","18",11.7.2021 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605018",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111735006502 42.7097779919494)","19","19",11.7.2021 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605019",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111735006502 42.7097779919494)","20","20",11.7.2021 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605020",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111735006502 42.7097779919494)","21","21",11.7.2021 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605021",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111735006502 42.7097779919494)","22","22",11.7.2021 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605022",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111735006502 42.7097779919494)","23","23",11.7.2021 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605023",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111735006502 42.7097779919494)","24","24",11.7.2021 г._101,"14-то СУ „Проф. д-р Асен Златаров”, гр.София, УЛ.ГЕН.ИВАН ЧЕРНАЕВ № 8",197901.6528,4735187.966,"244605024",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3119069338098 42.7012200767139)","25","25",11.7.2021 г._102,"18 СУ ""Уилям Гладстон"", гр.София, УЛ.ПИРОТСКА № 68",197920.1725,4734234.887,"244603011",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3119069338098 42.7012200767139)","26","26",11.7.2021 г._102,"18 СУ ""Уилям Гладстон"", гр.София, УЛ.ПИРОТСКА № 68",197920.1725,4734234.887,"244603024",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3119069338098 42.7012200767139)","27","27",11.7.2021 г._102,"18 СУ ""Уилям Гладстон"", гр.София, УЛ.ПИРОТСКА № 68",197920.1725,4734234.887,"244603025",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3138980006405 42.6807789961546)","28","28",11.7.2021 г._103,"ТЪРГОВСКО – БАНКОВА ГИМНАЗИЯ, гр.София, БУЛ.ВИТОША № 91",197984.1046,4731957.552,"234610031",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3138980006405 42.6807789961546)","29","29",11.7.2021 г._103,"ТЪРГОВСКО – БАНКОВА ГИМНАЗИЯ, гр.София, БУЛ.ВИТОША № 91",197984.1046,4731957.552,"234610032",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3138980006405 42.6807789961546)","30","30",11.7.2021 г._103,"ТЪРГОВСКО – БАНКОВА ГИМНАЗИЯ, гр.София, БУЛ.ВИТОША № 91",197984.1046,4731957.552,"234610033",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3138980006405 42.6807789961546)","31","31",11.7.2021 г._103,"ТЪРГОВСКО – БАНКОВА ГИМНАЗИЯ, гр.София, БУЛ.ВИТОША № 91",197984.1046,4731957.552,"234610036",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3138980006405 42.6807789961546)","32","32",11.7.2021 г._103,"ТЪРГОВСКО – БАНКОВА ГИМНАЗИЯ, гр.София, БУЛ.ВИТОША № 91",197984.1046,4731957.552,"234610037",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3138980006405 42.6807789961546)","33","33",11.7.2021 г._103,"ТЪРГОВСКО – БАНКОВА ГИМНАЗИЯ, гр.София, БУЛ.ВИТОША № 91",197984.1046,4731957.552,"234610102",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111804412054 42.7364265818253)","34","34",11.7.2021 г._104,"153 Спортно училище ""Неофит Рилски"", гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ № 2",198031.679,4738147.571,"254613057",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111804412054 42.7364265818253)","35","35",11.7.2021 г._104,"153 Спортно училище ""Неофит Рилски"", гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ № 2",198031.679,4738147.571,"254613058",2021/07/11,Парламентарни избори в България (юли 2021)
"POINT (23.3111804412054 42.7364265818253)","36","36",11.7.2021 г._104,"153 Спортно училище ""Неофит Рилски"", гр.София, ж.к. СВОБОДА, УЛ.НАРОДНИ БУДИТЕЛИ № 2",198031.679,4738147.571,"254613059",2021/07/11,Парламентарни избори в България (юли 2021)
